participant	task	session	sequenceNumber	stimulus	response	reactionTime	interstimulusInterval	stepA	stepB	correctResponse	wasResponsecorrect
6	discrimination	1	141	"step7,silence1000,step5"	different	1.277485847	1000	step7	step5	different	yes
6	discrimination	1	142	"step7,silence1000,step7"	same	0.294182777	1000	step7	step7	same	yes
6	discrimination	1	143	"step7,silence2000,step5"	different	1.936861038	2000	step7	step5	different	yes
6	discrimination	1	144	"step7,silence2000,step7"	same	1.439230919	2000	step7	step7	same	yes
6	discrimination	1	145	"step7,silence250,step5"	different	0.951195002	250	step7	step5	different	yes
6	discrimination	1	146	"step7,silence250,step7"	same	0.682404041	250	step7	step7	same	yes
6	discrimination	1	147	"step7,silence500,step5"	different	1.995372057	500	step7	step5	different	yes
6	discrimination	1	148	"step7,silence500,step7"	same	0.706933975	500	step7	step7	same	yes
6	discrimination	1	149	"step7,step5"	different	0.238546371	0	step7	step5	different	yes
6	discrimination	1	150	"step7,step7"	same	0.810476065	0	step7	step7	same	yes
6	discrimination	1	151	"step1,silence1000,step1"	same	0.631731033	1000	step1	step1	same	yes
6	discrimination	1	152	"step1,silence1000,step3"	different	0.682791948	1000	step1	step3	different	yes
6	discrimination	1	153	"step1,silence2000,step1"	same	0.35078001	2000	step1	step1	same	yes
6	discrimination	1	154	"step1,silence2000,step3"	different	0.85941577	2000	step1	step3	different	yes
6	discrimination	1	155	"step1,silence250,step1"	same	0.65468812	250	step1	step1	same	yes
6	discrimination	1	156	"step1,silence250,step3"	different	1.757524014	250	step1	step3	different	yes
6	discrimination	1	157	"step1,silence500,step1"	same	0.845859051	500	step1	step1	same	yes
6	discrimination	1	158	"step1,silence500,step3"	different	0.33300209	500	step1	step3	different	yes
6	discrimination	1	159	"step1,step1"	same	0.679327011	0	step1	step1	same	yes
6	discrimination	1	160	"step1,step3"	different	0.650695324	0	step1	step3	different	yes
6	discrimination	1	161	"step3,silence1000,step1"	different	1.247084856	1000	step3	step1	different	yes
6	discrimination	1	162	"step3,silence1000,step3"	same	0.530747175	1000	step3	step3	same	yes
6	discrimination	1	163	"step3,silence1000,step5"	different	0.339765072	1000	step3	step5	different	yes
6	discrimination	1	164	"step3,silence2000,step1"	same	1.013650179	2000	step3	step1	different	no
6	discrimination	1	165	"step3,silence2000,step3"	same	0.796216965	2000	step3	step3	same	yes
6	discrimination	1	166	"step3,silence2000,step5"	different	0.454633951	2000	step3	step5	different	yes
6	discrimination	1	167	"step3,silence250,step1"	different	8.869252205	250	step3	step1	different	yes
6	discrimination	1	168	"step3,silence250,step3"	same	0.530537128	250	step3	step3	same	yes
6	discrimination	1	169	"step3,silence250,step5"	different	0.888296843	250	step3	step5	different	yes
6	discrimination	1	170	"step3,silence500,step1"	different	0.542739868	500	step3	step1	different	yes
6	discrimination	1	171	"step3,silence500,step3"	same	0.47047925	500	step3	step3	same	yes
6	discrimination	1	172	"step3,silence500,step5"	different	0.695226192	500	step3	step5	different	yes
6	discrimination	1	173	"step3,step1"	different	0.705873966	0	step3	step1	different	yes
6	discrimination	1	174	"step3,step3"	same	0.299124002	0	step3	step3	same	yes
6	discrimination	1	175	"step3,step5"	different	2.352596998	0	step3	step5	different	yes
6	discrimination	1	176	"step5,silence1000,step3"	different	12.51573181	1000	step5	step3	different	yes
6	discrimination	1	177	"step5,silence1000,step5"	same	0.784852028	1000	step5	step5	same	yes
6	discrimination	1	178	"step5,silence1000,step7"	different	0.798774004	1000	step5	step7	different	yes
6	discrimination	1	179	"step5,silence2000,step3"	different	1.760795832	2000	step5	step3	different	yes
6	discrimination	1	180	"step5,silence2000,step5"	same	0.895494223	2000	step5	step5	same	yes
6	discrimination	1	181	"step5,silence2000,step7"	different	0.413139105	2000	step5	step7	different	yes
6	discrimination	1	182	"step5,silence250,step3"	different	8.062144995	250	step5	step3	different	yes
6	discrimination	1	183	"step5,silence250,step5"	same	0.445821762	250	step5	step5	same	yes
6	discrimination	1	184	"step5,silence250,step7"	different	0.704352856	250	step5	step7	different	yes
6	discrimination	1	185	"step5,silence500,step3"	different	0.490716934	500	step5	step3	different	yes
6	discrimination	1	186	"step5,silence500,step5"	same	0.471859932	500	step5	step5	same	yes
6	discrimination	1	187	"step5,silence500,step7"	different	0.449640989	500	step5	step7	different	yes
6	discrimination	1	188	"step5,step3"	different	0.625091076	0	step5	step3	different	yes
6	discrimination	1	189	"step5,step5"	same	0.388983965	0	step5	step5	same	yes
