durationstep,LongKey,vowel,SpecificOrigCoda,OrigCoda,trial,response,Longresps,responsetime,participant,order
1,right,a,k,voiceless,16,left,0,2.09727788,106,iau
4,right,a,t,voiceless,18,left,0,1.134629011,106,iau
9,right,a,t,voiceless,19,left,0,1.11510396,106,iau
7,right,a,k,voiceless,21,right,1,0.998579979,106,iau
8,right,a,t,voiceless,25,left,0,1.472918987,106,iau
10,right,a,k,voiceless,26,right,1,1.151371002,106,iau
3,right,a,k,voiceless,28,left,0,1.219084978,106,iau
2,right,a,t,voiceless,29,left,0,1.032709122,106,iau
7,right,a,t,voiceless,32,right,1,2.011996984,106,iau
3,right,u,t,voiceless,0,left,0,1.556242943,106,iau
10,right,u,t,voiceless,5,right,1,1.471873999,106,iau
7,right,u,k,voiceless,6,right,1,1.388433933,106,iau
8,right,u,k,voiceless,7,right,1,1.489204884,106,iau
10,right,u,k,voiceless,8,right,1,1.47300005,106,iau
8,right,u,t,voiceless,12,right,1,1.202064991,106,iau
7,right,u,t,voiceless,13,right,1,1.253027916,106,iau
6,right,u,t,voiceless,14,right,1,1.165733814,106,iau
6,right,u,k,voiceless,16,right,1,2.198164225,106,iau
4,right,u,t,voiceless,17,right,1,1.607000113,106,iau
1,right,u,k,voiceless,19,left,0,1.42158699,106,iau
9,right,u,t,voiceless,21,right,1,1.186294079,106,iau
2,right,u,t,voiceless,23,left,0,1.097841024,106,iau
9,right,u,k,voiceless,24,right,1,0.948866129,106,iau
5,right,u,k,voiceless,28,left,0,1.861304998,106,iau
4,right,u,k,voiceless,29,left,0,1.522796869,106,iau
1,right,u,t,voiceless,31,left,0,1.371123075,106,iau
5,right,u,t,voiceless,32,left,0,1.334352016,106,iau
3,right,u,k,voiceless,34,left,0,1.134119987,106,iau
2,right,u,k,voiceless,38,right,1,1.895015955,106,iau
6,left,u,t,voiceless,3,right,0,1.894574881,107,uai
2,left,u,k,voiceless,4,right,0,1.083991051,107,uai
4,left,u,t,voiceless,7,right,0,0.963067055,107,uai
1,left,u,t,voiceless,8,right,0,0.948889017,107,uai
8,left,u,k,voiceless,10,left,1,0.982933044,107,uai
6,left,u,k,voiceless,13,left,1,1.317652941,107,uai
9,left,u,k,voiceless,14,left,1,1.320003033,107,uai
3,left,u,k,voiceless,16,left,1,1.100386858,107,uai
1,left,u,k,voiceless,17,right,0,1.235434055,107,uai
10,left,u,t,voiceless,18,left,1,1.182698965,107,uai
9,left,u,t,voiceless,19,left,1,0.881249905,107,uai
5,left,u,k,voiceless,20,right,0,1.185336113,107,uai
10,left,u,k,voiceless,21,left,1,1.26987195,107,uai
4,left,u,k,voiceless,23,left,1,1.25321579,107,uai
7,left,u,t,voiceless,24,left,1,2.41799283,107,uai
5,left,u,t,voiceless,25,right,0,2.13123703,107,uai
2,left,u,t,voiceless,29,right,0,1.300856113,107,uai
3,left,u,t,voiceless,32,left,1,1.658649921,107,uai
8,left,u,t,voiceless,36,right,0,1.169043064,107,uai
7,left,u,k,voiceless,37,left,1,1.067884922,107,uai
6,left,a,t,voiceless,4,right,0,1.334425211,107,uai
6,left,a,k,voiceless,6,left,1,1.132000208,107,uai
3,left,a,t,voiceless,12,left,1,0.962856054,107,uai
10,left,a,t,voiceless,13,left,1,0.813252926,107,uai
4,left,a,k,voiceless,16,right,0,0.898941994,107,uai
9,left,a,t,voiceless,17,left,1,0.983283997,107,uai
7,left,a,t,voiceless,18,left,1,1.151087046,107,uai
1,left,a,k,voiceless,19,right,0,0.847653151,107,uai
7,left,a,k,voiceless,20,right,0,0.661179066,107,uai
2,left,a,k,voiceless,21,right,0,0.77967,107,uai
2,left,a,t,voiceless,22,right,0,1.252943993,107,uai
8,left,a,t,voiceless,26,left,1,0.931543112,107,uai
1,left,a,t,voiceless,27,right,0,1.064188957,107,uai
4,left,a,t,voiceless,29,right,0,0.864940166,107,uai
9,left,a,k,voiceless,30,right,0,1.134266138,107,uai
10,left,a,k,voiceless,31,left,1,1.422352076,107,uai
3,left,a,k,voiceless,33,left,1,1.253935099,107,uai
8,left,a,k,voiceless,35,right,0,2.265311956,107,uai
5,left,a,t,voiceless,38,right,0,1.134647131,107,uai
5,left,a,k,voiceless,39,left,1,2.317162037,107,uai
5,left,i,k,voiceless,0,right,0,1.016410112,107,uai
5,left,i,t,voiceless,2,right,0,1.42225194,107,uai
9,left,i,k,voiceless,3,left,1,2.013287067,107,uai
7,left,i,k,voiceless,7,right,0,1.505455971,107,uai
7,left,i,t,voiceless,8,left,1,0.696223021,107,uai
2,left,i,t,voiceless,9,right,0,1.132405996,107,uai
4,left,i,k,voiceless,10,right,0,1.216221094,107,uai
3,left,i,k,voiceless,11,right,0,0.729522228,107,uai
6,left,i,t,voiceless,14,right,0,1.253551006,107,uai
8,left,i,t,voiceless,16,right,0,0.983299017,107,uai
4,left,i,t,voiceless,19,right,0,1.185496092,107,uai
9,left,i,t,voiceless,22,left,1,0.780581951,107,uai
8,left,i,k,voiceless,26,right,0,1.537056208,107,uai
1,left,i,k,voiceless,28,right,0,1.232913017,107,uai
10,left,i,k,voiceless,31,right,0,0.847569942,107,uai
10,left,i,t,voiceless,32,left,1,0.882127047,107,uai
6,left,i,k,voiceless,33,right,0,1.418836832,107,uai
2,left,i,k,voiceless,35,right,0,0.881655931,107,uai
3,left,i,t,voiceless,37,right,0,1.168694973,107,uai
1,left,i,t,voiceless,38,left,1,0.93165803,107,uai
3,left,u,t,voiceless,1,right,0,2.58681488,108,uia
1,left,u,k,voiceless,4,right,0,1.016626835,108,uia
2,left,u,t,voiceless,5,left,1,1.520092964,108,uia
9,left,u,k,voiceless,6,left,1,1.304176092,108,uia
4,left,u,t,voiceless,7,right,0,2.31791091,108,uia
4,left,u,k,voiceless,9,right,0,1.135424852,108,uia
6,left,u,k,voiceless,10,right,0,1.084652185,108,uia
5,left,u,k,voiceless,12,left,1,3.296059132,108,uia
5,left,u,t,voiceless,15,left,1,1.303591967,108,uia
8,left,u,k,voiceless,17,left,1,1.03039813,108,uia
1,left,u,t,voiceless,22,right,0,1.033921003,108,uia
7,left,u,k,voiceless,25,left,1,1.351329088,108,uia
3,left,u,k,voiceless,26,right,0,1.402177095,108,uia
9,left,u,t,voiceless,27,left,1,1.049901962,108,uia
10,left,u,t,voiceless,28,left,1,1.184847116,108,uia
10,left,u,k,voiceless,32,left,1,1.455319881,108,uia
6,left,u,t,voiceless,33,right,0,2.383949041,108,uia
2,left,u,k,voiceless,35,right,0,0.863972902,108,uia
7,left,u,t,voiceless,38,left,1,1.252782106,108,uia
8,left,u,t,voiceless,39,left,1,1.539889812,108,uia
4,left,i,t,voiceless,2,right,0,1.25373292,108,uia
8,left,i,k,voiceless,4,left,1,1.134344101,108,uia
8,left,i,t,voiceless,6,left,1,2.637819052,108,uia
10,left,i,k,voiceless,7,left,1,0.980174065,108,uia
5,left,i,t,voiceless,12,right,0,3.379683018,108,uia
1,left,i,t,voiceless,15,right,0,0.898445845,108,uia
6,left,i,t,voiceless,17,left,1,1.185256958,108,uia
4,left,i,k,voiceless,18,left,1,2.587384939,108,uia
7,left,i,t,voiceless,19,left,1,0.780888081,108,uia
1,left,i,k,voiceless,20,right,0,0.982062101,108,uia
9,left,i,k,voiceless,21,right,0,0.813450813,108,uia
6,left,i,k,voiceless,24,right,0,1.218648195,108,uia
3,left,i,k,voiceless,25,right,0,0.746551037,108,uia
3,left,i,t,voiceless,27,right,0,0.846989155,108,uia
5,left,i,k,voiceless,29,left,1,1.049917936,108,uia
10,left,i,t,voiceless,31,left,1,1.168627977,108,uia
9,left,i,t,voiceless,33,left,1,0.999172926,108,uia
2,left,i,k,voiceless,36,left,1,1.912075996,108,uia
7,left,i,k,voiceless,37,left,1,1.303133965,108,uia
2,left,i,t,voiceless,38,right,0,0.844789028,108,uia
7,left,a,k,voiceless,1,right,0,0.796815157,108,uia
3,left,a,k,voiceless,5,right,0,1.252801895,108,uia
6,left,a,k,voiceless,7,left,1,0.914026976,108,uia
3,left,a,t,voiceless,12,right,0,1.083937883,108,uia
9,left,a,t,voiceless,16,left,1,1.962750912,108,uia
4,left,a,t,voiceless,19,left,1,1.978379011,108,uia
10,left,a,t,voiceless,21,left,1,0.780730963,108,uia
4,left,a,k,voiceless,23,right,0,1.098059893,108,uia
2,left,a,t,voiceless,24,right,0,1.371479988,108,uia
2,left,a,k,voiceless,26,right,0,1.134960175,108,uia
8,left,a,t,voiceless,27,left,1,0.966504097,108,uia
5,left,a,t,voiceless,28,right,0,1.049830914,108,uia
5,left,a,k,voiceless,29,right,0,1.439204931,108,uia
7,left,a,t,voiceless,31,left,1,1.047366142,108,uia
10,left,a,k,voiceless,32,left,1,1.388448,108,uia
9,left,a,k,voiceless,33,left,1,0.861788034,108,uia
6,left,a,t,voiceless,34,left,1,1.658202171,108,uia
1,left,a,k,voiceless,35,right,0,0.897891998,108,uia
1,left,a,t,voiceless,36,right,0,0.864067793,108,uia
8,left,a,k,voiceless,38,left,1,1.150964022,108,uia
3,right,i,t,voiceless,1,right,1,3.194131136,110,iua
1,right,i,t,voiceless,4,left,0,1.023198128,110,iua
2,right,i,k,voiceless,5,left,0,1.071855068,110,iua
5,right,i,k,voiceless,6,left,0,1.591580153,110,iua
2,right,i,t,voiceless,7,right,1,1.657210112,110,iua
8,right,i,t,voiceless,9,right,1,1.790978909,110,iua
8,right,i,k,voiceless,11,left,0,1.056349993,110,iua
4,right,i,t,voiceless,15,right,1,1.507290125,110,iua
10,right,i,t,voiceless,16,right,1,1.03905797,110,iua
6,right,i,k,voiceless,17,left,0,0.869491816,110,iua
3,right,i,k,voiceless,18,left,0,0.989542961,110,iua
1,right,i,k,voiceless,19,left,0,0.853384018,110,iua
10,right,i,k,voiceless,21,right,1,1.155990124,110,iua
7,right,i,t,voiceless,22,right,1,2.02220583,110,iua
6,right,i,t,voiceless,25,right,1,1.139049053,110,iua
5,right,i,t,voiceless,26,right,1,1.390069008,110,iua
9,right,i,t,voiceless,30,right,1,0.956448078,110,iua
9,right,i,k,voiceless,33,right,1,1.307312012,110,iua
7,right,i,k,voiceless,37,left,0,1.858908892,110,iua
4,right,i,k,voiceless,38,left,0,1.053231001,110,iua
6,right,u,k,voiceless,0,right,1,1.905357122,110,iua
3,right,u,t,voiceless,4,right,1,1.056521893,110,iua
6,right,u,t,voiceless,5,right,1,1.153467178,110,iua
10,right,u,k,voiceless,6,right,1,1.721742153,110,iua
8,right,u,t,voiceless,7,right,1,1.757525921,110,iua
1,right,u,k,voiceless,8,right,1,2.626101971,110,iua
5,right,u,t,voiceless,9,right,1,1.003095865,110,iua
8,right,u,k,voiceless,10,right,1,1.156848907,110,iua
9,right,u,k,voiceless,11,right,1,1.356908798,110,iua
7,right,u,k,voiceless,12,right,1,1.707425833,110,iua
4,right,u,k,voiceless,16,right,1,0.889699936,110,iua
9,right,u,t,voiceless,17,right,1,1.122742891,110,iua
2,right,u,t,voiceless,18,right,1,1.838294983,110,iua
4,right,u,t,voiceless,21,right,1,1.489758015,110,iua
7,right,u,t,voiceless,27,right,1,1.140172958,110,iua
3,right,u,k,voiceless,28,left,0,0.954937935,110,iua
10,right,u,t,voiceless,30,right,1,0.889396906,110,iua
5,right,u,k,voiceless,33,left,0,1.573312044,110,iua
2,right,u,k,voiceless,36,left,0,1.203938961,110,iua
1,right,u,t,voiceless,37,right,1,1.005721807,110,iua
1,right,a,k,voiceless,0,left,0,0.886264086,110,iua
5,right,a,k,voiceless,3,left,0,1.307476997,110,iua
10,right,a,k,voiceless,4,left,0,1.122174978,110,iua
3,right,a,k,voiceless,9,left,0,0.956435919,110,iua
10,right,a,t,voiceless,13,right,1,1.072384119,110,iua
2,right,a,k,voiceless,14,left,0,1.253793955,110,iua
9,right,a,k,voiceless,15,left,0,1.874145985,110,iua
7,right,a,t,voiceless,16,right,1,1.005789042,110,iua
8,right,a,t,voiceless,18,right,1,1.239692926,110,iua
5,right,a,t,voiceless,22,right,1,1.106640816,110,iua
9,right,a,t,voiceless,23,right,1,2.072174072,110,iua
6,right,a,t,voiceless,24,right,1,0.872256041,110,iua
4,right,a,k,voiceless,25,left,0,1.072566986,110,iua
3,right,a,t,voiceless,26,right,1,0.85591507,110,iua
8,right,a,k,voiceless,29,right,1,0.906065941,110,iua
1,right,a,t,voiceless,30,left,0,1.140087128,110,iua
2,right,a,t,voiceless,32,left,0,0.739277124,110,iua
6,right,a,k,voiceless,34,left,0,1.340597868,110,iua
7,right,a,k,voiceless,36,right,1,1.757224083,110,iua
4,right,a,t,voiceless,38,left,0,1.804672003,110,iua
8,right,u,k,voiceless,5,left,0,1.490199089,111,uai
1,right,u,k,voiceless,6,left,0,1.256942034,111,uai
10,right,u,t,voiceless,7,right,1,0.92219305,111,uai
5,right,u,t,voiceless,9,right,1,1.18977499,111,uai
1,right,u,t,voiceless,11,right,1,1.440271139,111,uai
6,right,u,t,voiceless,12,right,1,1.006542921,111,uai
8,right,u,t,voiceless,13,right,1,0.922067165,111,uai
10,right,u,k,voiceless,14,left,0,0.889286995,111,uai
5,right,u,k,voiceless,16,right,1,1.038732052,111,uai
7,right,u,k,voiceless,17,left,0,0.77244091,111,uai
9,right,u,t,voiceless,19,right,1,0.969372034,111,uai
2,right,u,k,voiceless,20,left,0,1.139687061,111,uai
4,right,u,t,voiceless,22,left,0,1.006506205,111,uai
2,right,u,t,voiceless,23,left,0,1.45729804,111,uai
3,right,u,k,voiceless,25,left,0,1.023038149,111,uai
6,right,u,k,voiceless,26,left,0,0.955913067,111,uai
7,right,u,t,voiceless,31,left,0,1.022979021,111,uai
3,right,u,t,voiceless,33,right,1,1.623369932,111,uai
4,right,u,k,voiceless,34,right,1,1.373421907,111,uai
9,right,u,k,voiceless,36,right,1,1.13894701,111,uai
3,right,a,t,voiceless,0,left,0,1.039428949,111,uai
10,right,a,k,voiceless,1,right,1,1.389280081,111,uai
10,right,a,t,voiceless,2,right,1,1.055468082,111,uai
8,right,a,t,voiceless,3,right,1,0.972177982,111,uai
2,right,a,k,voiceless,4,left,0,0.989978075,111,uai
7,right,a,k,voiceless,5,left,0,1.439820051,111,uai
5,right,a,t,voiceless,6,right,1,1.857414007,111,uai
9,right,a,t,voiceless,7,left,0,0.955476999,111,uai
2,right,a,t,voiceless,11,left,0,3.928867102,111,uai
9,right,a,k,voiceless,13,right,1,1.257275105,111,uai
6,right,a,t,voiceless,20,right,1,1.407636881,111,uai
1,right,a,k,voiceless,21,right,1,3.209873915,111,uai
5,right,a,k,voiceless,23,right,1,1.253777981,111,uai
7,right,a,t,voiceless,24,right,1,1.557250977,111,uai
4,right,a,t,voiceless,25,right,1,2.259135962,111,uai
6,right,a,k,voiceless,26,right,1,3.211289883,111,uai
3,right,a,k,voiceless,27,right,1,0.936020136,111,uai
1,right,a,t,voiceless,31,right,1,1.704565048,111,uai
8,right,a,k,voiceless,34,left,0,1.022705078,111,uai
4,right,a,k,voiceless,38,left,0,1.239670038,111,uai
1,right,i,t,voiceless,1,left,0,1.841846943,111,uai
5,right,i,k,voiceless,2,left,0,1.840590954,111,uai
3,right,i,k,voiceless,4,left,0,0.819288015,111,uai
6,right,i,k,voiceless,8,right,1,1.205873013,111,uai
3,right,i,t,voiceless,9,left,0,0.905509949,111,uai
10,right,i,t,voiceless,10,right,1,1.19052887,111,uai
5,right,i,t,voiceless,11,right,1,1.390606165,111,uai
7,right,i,t,voiceless,16,left,0,0.854671955,111,uai
2,right,i,k,voiceless,18,left,0,1.474418879,111,uai
4,right,i,t,voiceless,19,left,0,3.027833939,111,uai
6,right,i,t,voiceless,22,left,0,1.289463043,111,uai
9,right,i,t,voiceless,26,right,1,1.824696064,111,uai
10,right,i,k,voiceless,27,left,0,2.25968194,111,uai
8,right,i,k,voiceless,28,left,0,1.624591112,111,uai
9,right,i,k,voiceless,29,left,0,1.105916023,111,uai
7,right,i,k,voiceless,33,left,0,1.457108974,111,uai
2,right,i,t,voiceless,34,left,0,1.440787077,111,uai
1,right,i,k,voiceless,36,left,0,1.253531933,111,uai
4,right,i,k,voiceless,37,left,0,1.304121017,111,uai
8,right,i,t,voiceless,38,right,1,0.91958189,111,uai
10,right,u,t,voiceless,1,right,1,2.249336004,112,uia
6,right,u,k,voiceless,3,left,0,1.826319933,112,uia
8,right,u,t,voiceless,4,left,0,2.769421101,112,uia
1,right,u,t,voiceless,5,left,0,1.016072035,112,uia
5,right,u,k,voiceless,7,left,0,1.235271931,112,uia
1,right,u,k,voiceless,8,left,0,1.084002972,112,uia
5,right,u,t,voiceless,9,right,1,2.840626955,112,uia
10,right,u,k,voiceless,16,right,1,1.148919821,112,uia
7,right,u,k,voiceless,17,left,0,1.893743992,112,uia
3,right,u,k,voiceless,18,left,0,0.982493162,112,uia
2,right,u,k,voiceless,20,left,0,0.99996686,112,uia
8,right,u,k,voiceless,21,right,1,1.303129911,112,uia
3,right,u,t,voiceless,22,left,0,1.084398985,112,uia
9,right,u,t,voiceless,23,right,1,1.19905591,112,uia
4,right,u,t,voiceless,25,left,0,3.718663931,112,uia
2,right,u,t,voiceless,26,left,0,1.050051928,112,uia
7,right,u,t,voiceless,28,right,1,0.831522942,112,uia
9,right,u,k,voiceless,29,right,1,1.101656914,112,uia
4,right,u,k,voiceless,33,left,0,1.810701132,112,uia
6,right,u,t,voiceless,35,right,1,1.081527948,112,uia
8,right,i,t,voiceless,1,right,1,1.978996992,112,uia
4,right,i,k,voiceless,2,left,0,0.982650042,112,uia
1,right,i,t,voiceless,7,left,0,1.000175953,112,uia
5,right,i,k,voiceless,8,left,0,1.739748001,112,uia
7,right,i,t,voiceless,10,right,1,1.185226917,112,uia
10,right,i,k,voiceless,11,right,1,1.097949028,112,uia
9,right,i,t,voiceless,12,right,1,0.949604988,112,uia
4,right,i,t,voiceless,16,left,0,1.270256042,112,uia
7,right,i,k,voiceless,17,left,0,3.025665998,112,uia
2,right,i,t,voiceless,19,left,0,1.321135044,112,uia
9,right,i,k,voiceless,20,right,1,0.931818962,112,uia
3,right,i,k,voiceless,23,left,0,1.64185214,112,uia
8,right,i,k,voiceless,24,right,1,1.47242713,112,uia
1,right,i,k,voiceless,25,left,0,0.898936987,112,uia
6,right,i,t,voiceless,27,right,1,4.899091005,112,uia
3,right,i,t,voiceless,30,left,0,1.270181179,112,uia
10,right,i,t,voiceless,34,right,1,2.06034708,112,uia
5,right,i,t,voiceless,36,left,0,1.469650984,112,uia
6,right,i,k,voiceless,37,left,0,1.472899199,112,uia
2,right,i,k,voiceless,38,left,0,0.983257055,112,uia
7,right,a,k,voiceless,0,right,1,4.139889002,112,uia
3,right,a,k,voiceless,1,left,0,1.421916008,112,uia
5,right,a,t,voiceless,2,right,1,1.300528049,112,uia
2,right,a,t,voiceless,3,left,0,1.047715902,112,uia
8,right,a,k,voiceless,4,right,1,1.017579079,112,uia
4,right,a,k,voiceless,5,right,1,1.573712111,112,uia
10,right,a,t,voiceless,6,right,1,1.100880861,112,uia
8,right,a,t,voiceless,7,right,1,1.098273993,112,uia
6,right,a,k,voiceless,8,left,0,1.488812923,112,uia
1,right,a,t,voiceless,10,left,0,1.439230919,112,uia
4,right,a,t,voiceless,14,left,0,2.130127907,112,uia
5,right,a,k,voiceless,17,left,0,1.033940792,112,uia
9,right,a,k,voiceless,18,right,1,1.353961945,112,uia
3,right,a,t,voiceless,20,left,0,1.10029006,112,uia
2,right,a,k,voiceless,21,left,0,2.198886871,112,uia
1,right,a,k,voiceless,31,left,0,1.236106873,112,uia
10,right,a,k,voiceless,33,right,1,1.503129005,112,uia
6,right,a,t,voiceless,34,right,1,1.70896697,112,uia
9,right,a,t,voiceless,36,left,0,2.40123105,112,uia
7,right,a,t,voiceless,38,right,1,1.303615808,112,uia
8,left,u,t,voiceless,1,left,1,1.016336918,113,uia
4,left,u,t,voiceless,2,right,0,1.101005077,113,uia
6,left,u,t,voiceless,3,right,0,1.658726931,113,uia
2,left,u,k,voiceless,4,right,0,1.217891932,113,uia
9,left,u,t,voiceless,6,left,1,1.117707968,113,uia
7,left,u,t,voiceless,7,left,1,1.15209198,113,uia
3,left,u,t,voiceless,9,right,0,1.252919912,113,uia
7,left,u,k,voiceless,10,left,1,1.15221715,113,uia
5,left,u,t,voiceless,15,left,1,1.321031094,113,uia
6,left,u,k,voiceless,18,right,0,1.185113192,113,uia
1,left,u,t,voiceless,24,right,0,1.216068029,113,uia
3,left,u,k,voiceless,25,left,1,1.691622972,113,uia
9,left,u,k,voiceless,26,left,1,1.067041874,113,uia
1,left,u,k,voiceless,27,right,0,1.252406836,113,uia
2,left,u,t,voiceless,30,right,0,1.419037104,113,uia
10,left,u,k,voiceless,32,left,1,1.351438046,113,uia
4,left,u,k,voiceless,35,right,0,1.216203928,113,uia
5,left,u,k,voiceless,36,right,0,1.961737156,113,uia
8,left,u,k,voiceless,37,right,0,1.422369003,113,uia
10,left,u,t,voiceless,38,right,0,1.219641924,113,uia
6,left,i,k,voiceless,1,right,0,1.300816059,113,uia
6,left,i,t,voiceless,4,right,0,1.236895084,113,uia
1,left,i,k,voiceless,6,right,0,1.083468914,113,uia
2,left,i,t,voiceless,8,right,0,1.26969099,113,uia
7,left,i,t,voiceless,12,right,0,1.523614883,113,uia
5,left,i,k,voiceless,13,left,1,1.421223164,113,uia
8,left,i,k,voiceless,14,right,0,1.743281126,113,uia
10,left,i,t,voiceless,15,right,0,1.674975157,113,uia
1,left,i,t,voiceless,20,right,0,1.151684046,113,uia
5,left,i,t,voiceless,22,right,0,1.895103931,113,uia
10,left,i,k,voiceless,23,left,1,0.99913311,113,uia
2,left,i,k,voiceless,24,right,0,1.236730099,113,uia
8,left,i,t,voiceless,25,left,1,1.201637983,113,uia
7,left,i,k,voiceless,27,left,1,1.20274806,113,uia
3,left,i,k,voiceless,29,right,0,1.283535957,113,uia
3,left,i,t,voiceless,30,right,0,1.233240128,113,uia
4,left,i,t,voiceless,31,right,0,1.792963982,113,uia
9,left,i,t,voiceless,33,left,1,1.218799114,113,uia
9,left,i,k,voiceless,36,left,1,0.966434956,113,uia
4,left,i,k,voiceless,39,right,0,1.219666004,113,uia
2,left,a,k,voiceless,1,right,0,1.117267847,113,uia
8,left,a,t,voiceless,3,left,1,1.115051985,113,uia
4,left,a,k,voiceless,9,right,0,1.168003082,113,uia
8,left,a,k,voiceless,13,left,1,1.422477007,113,uia
3,left,a,k,voiceless,16,right,0,1.351238012,113,uia
9,left,a,k,voiceless,18,left,1,1.773435116,113,uia
1,left,a,t,voiceless,21,right,0,1.270307064,113,uia
5,left,a,k,voiceless,22,right,0,1.674668074,113,uia
7,left,a,k,voiceless,23,left,1,1.591282845,113,uia
9,left,a,t,voiceless,24,left,1,1.15250802,113,uia
2,left,a,t,voiceless,27,right,0,1.30410409,113,uia
4,left,a,t,voiceless,28,right,0,1.066714048,113,uia
6,left,a,k,voiceless,29,right,0,1.776491165,113,uia
10,left,a,t,voiceless,30,left,1,1.304066896,113,uia
1,left,a,k,voiceless,32,right,0,1.219037056,113,uia
10,left,a,k,voiceless,33,left,1,1.556344032,113,uia
5,left,a,t,voiceless,34,right,0,1.233139992,113,uia
7,left,a,t,voiceless,35,right,0,1.995629072,113,uia
6,left,a,t,voiceless,38,left,1,1.151530027,113,uia
3,left,a,t,voiceless,39,right,0,1.419198036,113,uia
9,left,a,k,voiceless,0,right,0,4.867044926,114,aiu
7,left,a,t,voiceless,2,right,0,1.843836069,114,aiu
9,left,a,t,voiceless,4,left,1,2.756319046,114,aiu
1,left,a,t,voiceless,6,right,0,1.387746811,114,aiu
2,left,a,k,voiceless,7,right,0,2.516109943,114,aiu
10,left,a,k,voiceless,13,left,1,1.861266851,114,aiu
10,left,a,t,voiceless,17,left,1,3.073665142,114,aiu
7,left,a,k,voiceless,18,left,1,2.111282825,114,aiu
5,left,a,t,voiceless,19,right,0,2.315834999,114,aiu
5,left,a,k,voiceless,20,right,0,3.313468933,114,aiu
6,left,a,t,voiceless,21,left,1,3.499006987,114,aiu
3,left,a,t,voiceless,23,right,0,1.321002007,114,aiu
1,left,a,k,voiceless,24,right,0,3.39738512,114,aiu
8,left,a,k,voiceless,25,left,1,1.321211815,114,aiu
6,left,a,k,voiceless,27,right,0,2.266676903,114,aiu
8,left,a,t,voiceless,32,right,0,3.549689054,114,aiu
2,left,a,t,voiceless,35,right,0,1.05123806,114,aiu
3,left,a,k,voiceless,36,right,0,1.421947002,114,aiu
4,left,a,k,voiceless,37,right,0,0.844887972,114,aiu
4,left,a,t,voiceless,39,left,1,3.549711943,114,aiu
1,left,i,k,voiceless,4,right,0,1.843852997,114,aiu
10,left,i,t,voiceless,5,left,1,1.351526976,114,aiu
6,left,i,t,voiceless,6,left,1,1.928053141,114,aiu
3,left,i,k,voiceless,7,right,0,1.151123047,114,aiu
5,left,i,k,voiceless,8,right,0,0.965671062,114,aiu
7,left,i,k,voiceless,13,left,1,1.388601065,114,aiu
3,left,i,t,voiceless,15,right,0,1.320523024,114,aiu
4,left,i,t,voiceless,16,left,1,2.499618053,114,aiu
9,left,i,t,voiceless,17,left,1,1.540314198,114,aiu
2,left,i,k,voiceless,20,right,0,1.015954018,114,aiu
8,left,i,t,voiceless,21,left,1,1.489804029,114,aiu
5,left,i,t,voiceless,22,right,0,4.42681098,114,aiu
9,left,i,k,voiceless,24,left,1,1.6924541,114,aiu
10,left,i,k,voiceless,26,right,0,1.489402056,114,aiu
2,left,i,t,voiceless,27,left,1,3.347155809,114,aiu
4,left,i,k,voiceless,30,right,0,1.083873034,114,aiu
7,left,i,t,voiceless,32,left,1,1.675457954,114,aiu
8,left,i,k,voiceless,33,right,0,1.523636103,114,aiu
6,left,i,k,voiceless,34,right,0,1.016543865,114,aiu
1,left,i,t,voiceless,38,right,0,2.282330036,114,aiu
1,left,u,k,voiceless,1,right,0,1.134706974,114,aiu
10,left,u,t,voiceless,2,left,1,1.050776005,114,aiu
6,left,u,t,voiceless,3,left,1,1.67452383,114,aiu
4,left,u,k,voiceless,6,left,1,2.23269701,114,aiu
5,left,u,k,voiceless,11,left,1,1.539906979,114,aiu
8,left,u,t,voiceless,12,left,1,4.427292824,114,aiu
4,left,u,t,voiceless,14,left,1,3.49782896,114,aiu
6,left,u,k,voiceless,17,right,0,1.337865114,114,aiu
8,left,u,k,voiceless,18,left,1,1.151092052,114,aiu
7,left,u,t,voiceless,21,left,1,1.874943018,114,aiu
7,left,u,k,voiceless,22,left,1,1.810743093,114,aiu
3,left,u,k,voiceless,23,right,0,2.13150692,114,aiu
10,left,u,k,voiceless,24,right,0,1.150931835,114,aiu
2,left,u,k,voiceless,26,right,0,0.963207006,114,aiu
1,left,u,t,voiceless,28,right,0,2.029031992,114,aiu
9,left,u,k,voiceless,29,left,1,1.759943008,114,aiu
9,left,u,t,voiceless,31,left,1,3.059957027,114,aiu
2,left,u,t,voiceless,35,left,1,2.637916088,114,aiu
5,left,u,t,voiceless,36,left,1,1.607512951,114,aiu
3,left,u,t,voiceless,37,right,0,1.472352028,114,aiu
10,left,a,k,voiceless,0,left,1,3.854949951,115,aui
4,left,a,k,voiceless,3,left,1,1.11840415,115,aui
7,left,a,t,voiceless,4,left,1,0.915980101,115,aui
8,left,a,k,voiceless,7,left,1,8.547199011,115,aui
2,left,a,t,voiceless,12,left,1,1.26899004,115,aui
1,left,a,k,voiceless,13,right,0,1.540239811,115,aui
3,left,a,t,voiceless,14,right,0,2.55329895,115,aui
8,left,a,t,voiceless,15,left,1,1.151575804,115,aui
9,left,a,t,voiceless,16,left,1,0.94619298,115,aui
5,left,a,k,voiceless,18,left,1,4.917317867,115,aui
1,left,a,t,voiceless,21,left,1,1.236513138,115,aui
10,left,a,t,voiceless,23,right,0,1.387730837,115,aui
7,left,a,k,voiceless,25,left,1,4.460371017,115,aui
6,left,a,k,voiceless,28,right,0,2.38360405,115,aui
